"Sample_ID","Lactobacillus","Gardnerella","Bifidobacterium","Atopobium","Prevotella","Megasphaera","Aerococcus","Streptococcus","Anaerococcus","Dialister","Ureaplasma","Finegoldia","Clostridium","Shuttleworthia","Genus_Other","Staphylococcus","Chlamydia","Veillonella","Enterococcus","Campylobacter","Fusobacterium","Peptostreptococcus","Bacteroides"
"A1",98.8559599041185,0.495750708215297,0,0.185225539333188,0.1797777293528,0.0272390499019394,0,0.0762693397254304,0.0272390499019394,0.0326868598823273,0,0.0217912399215515,0,0,0.098060579646982,0,0,0,0,0,0,0,0
"A11",99.7163120567376,0,0,0.170212765957447,0,0,0.113475177304965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A12",99.5155429955591,0,0,0,0,0,0,0,0,0,0.141299959628583,0,0,0,0.343157044812273,0,0,0,0,0,0,0,0
"A13",99.4620271275682,0,0,0.0629542723058433,0,0.0457849253133406,0.0228924626566703,0,0,0,0.108739197619184,0,0,0,0.0629542723058432,0,0.217478395238368,0.0171693469925027,0,0,0,0,0
"A14",90.7834101382488,0.815313718539525,0,0.602623183268345,1.59517901453385,0,0.319035802906771,0,0,0,0,3.47394540942928,0,0,2.41049273307338,0,0,0,0,0,0,0,0
"A15",99.4731749274272,0.236533706053113,0,0.0215030641866466,0.118266853026556,0,0,0.0430061283732932,0,0,0.0645091925599398,0,0.0430061283732932,0,0,0,0,0,0,0,0,0,0
"A16",99.6476601657486,0.193538782194432,0,0.0694754602749243,0,0.0595503945213637,0,0,0,0,0.0297751972606819,0,0,0,0,0,0,0,0,0,0,0,0
"A17",99.4181488053481,0.119671522304296,0,0.0742788759130112,0.0412660421738951,0.0123798126521685,0,0,0,0,0,0,0.33425494160855,0,0,0,0,0,0,0,0,0,0
"A18",36.4292693518619,24.4001737053523,0,1.28107697318424,7.13820432092064,27.4237324937575,2.8009988057757,0,0,0.379980458147867,0.0597112148518076,0,0,0,0.0868526761480838,0,0,0,0,0,0,0,0
"A19",98.3932346723044,0.304439746300211,0.211416490486258,0.422832980972516,0.27906976744186,0,0,0,0.118393234672304,0,0,0,0,0,0.27061310782241,0,0,0,0,0,0,0,0
"A2",99.6765149881389,0,0.0646970023722234,0,0,0.19409100711667,0.0646970023722234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A20",99.7859685950073,0.0720297997571567,0,0.020579942787759,0.0679138111996049,0.0370438970179663,0.00617398283632772,0,0,0,0,0,0.0102899713938795,0,0,0,0,0,0,0,0,0,0
"A21",3.03203661327231,94.488939740656,0,0.24790236460717,0.78184591914569,0,0,0.9534706331045,0,0,0,0.28604118993135,0,0,0.20976353928299,0,0,0,0,0,0,0,0
"A22",98.6744315030505,0.183028286189684,0.831946755407654,0.0776483638380477,0.0554631170271769,0,0,0.0332778702163062,0,0,0,0,0,0,0.14420410427066,0,0,0,0,0,0,0,0
