"Sample_ID","Lactobacillus_crispatus","Lactobacillus_iners","Gardnerella_spp.","Lactobacillus_gasseri","Lactobacillus_jensenii","Bifidobacterium_spp.","Atopobium_vaginae","Prevotella_spp.","Lactobacillus_spp.","Lactobacillus_delbrueckii","Megasphaera_spp.","Aerococcus_spp.","Streptococcus_agalactiae","Streptococcus_anginosus","Anaerococcus_spp.","Species_Other","Streptococcus_luteciae","Shuttleworthia_spp.","Streptococcus_spp.","Veillonella_spp."
"A1",98.0987143168446,0.577467857921116,0.495750708215297,0.0544780998038788,0.125299629548921,0,0.185225539333188,0.1797777293528,0,0,0.0272390499019394,0,0.0762693397254304,0,0.0272390499019394,0.152538679450861,0,0,0,0
"A11",0.482269503546099,97.3049645390071,0,0,0,0,0.170212765957447,0,1.9290780141844,0,0,0.113475177304965,0,0,0,0,0,0,0,0
"A12",0.928542591844974,97.3556721840937,0,1.23132821962051,0,0,0,0,0,0,0,0,0,0,0,0.484457004440856,0,0,0,0
"A13",1.08166886052767,98.2487266067647,0,0,0.131631660275854,0,0.0629542723058433,0,0,0,0.0457849253133406,0.0228924626566703,0,0,0,0.389171865163395,0,0,0,0.0171693469925027
"A14",64.2679900744417,12.5487415809996,0.815313718539525,0.708968450903935,0.425381070542361,0,0.602623183268345,1.59517901453385,12.8323289613612,0,0,0.319035802906771,0,0,0,5.88443814250266,0,0,0,0
"A15",98.7098161488012,0.763358778625954,0.236533706053113,0,0,0,0.0215030641866466,0.118266853026556,0,0,0,0,0,0,0,0.107515320933233,0,0,0.0430061283732932,0
"A16",98.3524390849089,0.203463847947993,0.193538782194432,0,1.09175723289167,0,0.0694754602749243,0,0,0,0.0595503945213637,0,0,0,0,0.0297751972606819,0,0,0,0
"A17",98.4360170016094,0.891346510956134,0.119671522304296,0,0,0,0.0742788759130112,0.0412660421738951,0,0,0.0123798126521685,0,0,0,0,0.425040234391119,0,0,0,0
"A18",1.07480186733254,35.3544674845294,24.4001737053523,0,0,0,1.28107697318424,7.13820432092064,0,0,27.4237324937575,2.8009988057757,0,0,0,0.526544349147758,0,0,0,0
"A19",95.3572938689218,2.23255813953488,0.304439746300211,0.25369978858351,0.194503171247357,0.211416490486258,0.422832980972516,0.27906976744186,0.355179704016913,0,0,0,0,0,0.118393234672304,0.27061310782241,0,0,0,0
"A2",3.88182014233341,50.6146215225361,0,0.129394004744447,45.0506793185249,0.0646970023722234,0,0,0,0,0.19409100711667,0.0646970023722234,0,0,0,0,0,0,0,0
"A20",99.2200201683439,0.290177193307403,0.0720297997571567,0.0246959313453109,0.123479656726554,0,0.020579942787759,0.0679138111996049,0.127595645284106,0,0.0370438970179663,0.00617398283632772,0,0,0,0.0102899713938795,0,0,0,0
"A21",1.98321891685736,0.89626239511823,94.488939740656,0,0.15255530129672,0,0.24790236460717,0.78184591914569,0,0,0,0,0,0.9534706331045,0,0.49580472921434,0,0,0,0
"A22",98.0976150859678,0.282861896838602,0.183028286189684,0.138657792567942,0.0776483638380477,0.831946755407654,0.0776483638380477,0.0554631170271769,0.0443704936217415,0,0,0,0.0332778702163062,0,0,0.177481974486966,0,0,0,0
"A23",0.986443293287777,98.2255042433594,0.159814835225394,0,0.0551085638708255,0,0.0551085638708255,0.159814835225394,0,0,0.0440868510966604,0.0110217127741651,0,0.0771519894191557,0,0.165325691612477,0,0.0606194202579081,0,0
